dmr,k502_2_in_w_4d,k502_4_in_w_4d,k608_6_in_w_4d,k520_in_w_23d,k528_in_w_23d,k529_in_w_23d,K589_in_w_3m,K592_in_w_3m,K600_in_w_3m,k427_in_w_1y,k430_in_w_1y,s288_in_w_1y,k608_1_in_m_4d,k502_3_in_m_4d,k502_5_in_m_4d,k518_in_m_23d,k519_in_m_23d,k526_in_m_23d,K588_in_m_3m,K590_in_m_3m,K591_in_m_3m,k428_in_m_1y,k429_in_m_1y,k431_in_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
in_all_dmr_117,0.0959307812218153,0.10545514353653,0.117988061282225,0.118411886105713,0.122480354723202,0.141206459066482,0.233360245362779,0.221115139843132,0.164530080410904,0.176686881974977,0.193392142075643,0.210558902308586,0.49545184704797,0.525235263130213,0.55071684054123,0.552946105570657,0.509039062153316,0.560169995050281,0.628663730019345,0.666370269374132,0.643457599636845,0.628958136244772,0.630275495105614,0.68180748268571,0.106457995346857,0.127366233298466,0.206335155205605,0.193545975453069,0.523801316906471,0.540718387591418,0.646163866343441,0.647013704678699
in_all_dmr_118,0.0620393843295683,0.0785393864894383,0.0710366997401161,0.0778166450828295,0.0699227830896803,0.0899457291314666,0.130085231721922,0.127551194999214,0.12286231244943,0.198235673161794,0.190162373991228,0.186703911408459,0.362994992163281,0.39942345579601,0.391010463852852,0.447395870872429,0.418584809287756,0.463803042152827,0.591385770048392,0.618811558748543,0.595794372834745,0.674916061417738,0.6561391543982,0.690981806196759,0.0705384901863742,0.0792283857679921,0.126832913056855,0.191700652853827,0.384476303937381,0.443261240771004,0.601997233877227,0.674012340670899
in_all_dmr_119,0.138642860946822,0.131138855516847,0.124737954890519,0.18573536722703,0.192725526631283,0.188654930811063,0.315982450337242,0.309498604085411,0.302460949408849,0.436265357941303,0.439206422544759,0.43293657711422,0.552749012754281,0.5602866816281,0.568183934428105,0.613387151794701,0.580123238844884,0.589211621913935,0.742655893379375,0.740450854536409,0.743624925367862,0.792550278715762,0.806384593718199,0.776431588305128,0.131506557118063,0.189038608223125,0.309314001277167,0.436136119200094,0.560406542936829,0.594240670851173,0.742243891094549,0.791788820246363
in_all_dmr_12,0.165122691630678,0.179589651026792,0.143188810242468,0.205945443294043,0.221944986087346,0.217712126659744,0.364547108014512,0.318817947126328,0.324724568596005,0.462382890447823,0.485268612708368,0.385473666260391,0.391194711079034,0.427761975304241,0.451361517657435,0.472645845743119,0.477446145928452,0.51334216840384,0.637559767301932,0.648963958983439,0.612318164035249,0.779905092289209,0.783531580087312,0.781428305123538,0.162633717633313,0.215200852013711,0.336029874578948,0.444375056472194,0.423439401346903,0.487811386691804,0.63294729677354,0.781621659166686
in_all_dmr_120,0.0696891339035811,0.0702962143255719,0.0682731761119313,0.0807104787224215,0.078073730240151,0.0832883068852063,0.123344588150884,0.107307743633022,0.111243191264138,0.227633639457564,0.231640788082012,0.200605843077034,0.260113239773492,0.266079986661908,0.287039718606024,0.49659555698371,0.46620764646195,0.483843458236458,0.680181876688591,0.703281319264068,0.664670968463243,0.844333089625114,0.830045475039773,0.834227066165029,0.0694195081136948,0.0806908386159263,0.113965174349348,0.219960090205537,0.271077648347141,0.482215553894039,0.682711388138634,0.836201876943305
in_all_dmr_121,0.0888453558123433,0.0808334809589731,0.0751660434444814,0.109081008694515,0.117369519528675,0.113005723172531,0.16357807284373,0.153868210096328,0.156364561807712,0.225984053200989,0.221764732392136,0.198979927661608,0.407265320962981,0.430300615754984,0.42989333804051,0.501204144913489,0.470944157682182,0.496427285773932,0.616397400475358,0.629027931393222,0.627725361045463,0.700708100513847,0.708616506102889,0.693501967100737,0.0816149600719326,0.113152083798574,0.157936948249257,0.215576237751578,0.422486424919492,0.489525196123201,0.624383564304681,0.700942191239158
in_all_dmr_122,0.20201220922501,0.201054535157864,0.197959830958018,0.211948720385745,0.213103376079188,0.216246002819507,0.24946037515745,0.245794164567781,0.234897075105746,0.290104788989228,0.289353510301186,0.283106810780666,0.475803876340173,0.475164559087945,0.488767714121625,0.541368851922509,0.534043002962537,0.545025157327735,0.661816761027727,0.659084621579122,0.661338662865374,0.748843859937947,0.753985188077908,0.754257947320159,0.200342191780297,0.213766033094813,0.243383871610326,0.287521703357027,0.479912049849914,0.540145670737594,0.660746681824074,0.752362331778671
in_all_dmr_123,0.222914358505594,0.216952538617691,0.236895822027993,0.221351955497125,0.228770512663829,0.231222881880188,0.295813562977504,0.295522576053006,0.279993556927186,0.32227399894965,0.305435610318054,0.291395949019243,0.517873111873662,0.547714958256942,0.541710410122864,0.576973025279549,0.549847808860047,0.563489949883051,0.618807707847371,0.620972178952696,0.621295774031045,0.710475926807258,0.714223359098297,0.712638108316929,0.225587573050426,0.227115116680381,0.290443231985899,0.306368519428982,0.535766160084489,0.563436928007549,0.620358553610371,0.712445798074161
in_all_dmr_124,0.109029462726466,0.130889982404015,0.113021801667533,0.137878811129094,0.117974923299961,0.123513762049837,0.171107100978093,0.176711134205117,0.174409077785711,0.208923838235581,0.208973945708719,0.189003215517848,0.349439388498164,0.385714423815048,0.363831339308795,0.398772818161675,0.386230777221045,0.406808269595691,0.569061159353399,0.571712812402767,0.57515012334488,0.720049733526718,0.680358171922947,0.708298489215932,0.117647082266005,0.126455832159631,0.17407577098964,0.202300333154049,0.366328383874002,0.39727062165947,0.571974698367015,0.702902131555199
in_all_dmr_125,0.0767835477397064,0.0767330084670552,0.0781204677243691,0.0885906664221442,0.0861830475174352,0.0916631217135993,0.126772905559899,0.126946117600803,0.11916880803949,0.166021762084725,0.151577689793037,0.147037953374859,0.474539870649644,0.48867828768054,0.498954532784977,0.559454234573389,0.537177632287398,0.545121429557308,0.640067153888602,0.647556656030295,0.645351831116384,0.721118435163481,0.733848251595347,0.738958501358017,0.0772123413103769,0.0888122785510596,0.124295943733397,0.154879135084207,0.487390897038387,0.547251098806032,0.644325213678427,0.731308396038948
