dmr,k502_2_li_w_4d,k502_4_li_w_4d,WT4DF_li_w_4d,k520_li_w_23d,k528_li_w_23d,k529_li_w_23d,k534_li_w_3m,k535_li_w_3m,k536_li_w_3m,k427_li_w_1y,k430_li_w_1y,s288_ki_w_1y,k502_1_li_m_4d,k502_3_li_m_4d,k502_5_li_m_4d,k518_li_m_23d,k519_li_m_23d,k526_li_m_23d,k541_li_m_3m,k542_li_m_3m,k543_li_m_3m,k428_li_m_1y,k429_li_m_1y,k431_li_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
li_all_dmr_130,0.123432494180916,0.124823777560651,0.105449464998568,0.106755382714045,0.149741047380167,0.112122234356863,0.128868688046793,0.167285829841914,0.134009960220643,0.156162454310755,0.15378801992562,0.139912396135172,0.43034790808585,0.431609733590234,0.372936574782148,0.434868300150227,0.454031020658178,0.463832464227639,0.512024491895957,0.512754265054584,0.506473143980819,0.498614719170206,0.505458445046276,0.533047288961554,0.117901912246712,0.122872888150358,0.143388159369783,0.149954290123849,0.411631405486077,0.450910595012015,0.510417300310453,0.512373484392679
li_all_dmr_131,0.179004886492243,0.160422240069118,0.161772789318332,0.217397086294685,0.226926109088737,0.212133272202563,0.283278060486653,0.286562296693015,0.261057065916606,0.273842664038974,0.273829232416558,0.254390726853782,0.597390246199697,0.589528842479387,0.579995566045562,0.62878531366153,0.66258451563876,0.669097232560724,0.706123869897135,0.710072632590035,0.700149277921139,0.69654785954812,0.69952755459948,0.723766397002983,0.167066638626564,0.218818822528662,0.276965807698758,0.267354207769771,0.588971551574882,0.653489020620338,0.705448593469436,0.706613937050194
li_all_dmr_132,0.36424760534766,0.315337816171932,0.328003721166066,0.345632363271996,0.326518223584814,0.346469767458264,0.372498525981975,0.349032668453377,0.347028447670914,0.305009009177922,0.341317230730801,0.334403610436095,0.681826144014841,0.631323470588989,0.65209207001063,0.621817906016738,0.66324720690804,0.676520456649911,0.646841603534845,0.657770541482105,0.675774141014472,0.674734154635731,0.67358728619968,0.651994503454362,0.335863047561886,0.339540118105025,0.356186547368755,0.326909950114939,0.655080561538153,0.653861856524896,0.660128762010474,0.666771981429924
li_all_dmr_133,0.198420042752513,0.188560977223305,0.178414193358978,0.136796797658713,0.215782248834135,0.119200926062499,0.178349604359649,0.160499856167893,0.18965405950063,0.188576269050605,0.153158035623114,0.202942435738421,0.504314827434155,0.499358480118992,0.478014011885638,0.499600125648032,0.515709130080648,0.504303267657646,0.527470152339343,0.577549532820137,0.572458279987528,0.579208951341508,0.576961010020907,0.577114020933807,0.188465071111599,0.157259990851782,0.176167840009391,0.181558913470713,0.493895773146262,0.506537507795442,0.559159321715669,0.577761327432074
li_all_dmr_134,0.161150844639349,0.161568588584245,0.133328568851924,0.114509840112252,0.139665672188975,0.15325509733382,0.152070058497438,0.160372967381668,0.148176393156914,0.155435723068992,0.156881386204234,0.178301762456355,0.440728104156277,0.445713548479905,0.405383326782896,0.437266890354383,0.48730319569888,0.457176727465078,0.5042503205269,0.526721051306371,0.525128746989976,0.545876697940414,0.51800827525406,0.540331266491627,0.152016000691839,0.135810203211682,0.15353980634534,0.16353962390986,0.430608326473026,0.46058227117278,0.518700039607749,0.534738746562034
li_all_dmr_135,0.210331675289992,0.21142792013599,0.156135848149737,0.232904224961581,0.24781553584394,0.246234178331626,0.260338891746917,0.259127846206908,0.258197978535324,0.242865155299543,0.261707306767284,0.264309426262247,0.521460691183935,0.543473092020664,0.510075072534579,0.579481332852772,0.63214619667051,0.628351362867128,0.658937742546242,0.668593090275822,0.694151101978524,0.649283336404761,0.66351830027945,0.678114331452748,0.19263181452524,0.242317979712382,0.25922157216305,0.256293962776358,0.525002951913059,0.61332629746347,0.673893978266863,0.663638656045653
li_all_dmr_136,0.0659607517132831,0.065236804989483,0.0713367238572437,0.0835032207076191,0.0828145330985688,0.0580320983074911,0.117977120358936,0.0999055832138646,0.101254462974024,0.0817782445953017,0.105412894142885,0.0667742407574897,0.37677809191398,0.398509437306756,0.364074433215714,0.449675794680477,0.541518395618465,0.535899723687789,0.582855759379602,0.596699766939272,0.602373549554836,0.565822283630419,0.561991764659597,0.590921689666494,0.0675114268533366,0.074783284037893,0.106379055515608,0.0846551264985588,0.37978732081215,0.509031304662244,0.59397635862457,0.57291191265217
li_all_dmr_137,0.286926690820811,0.291625118571463,0.248374259328586,0.197039857733962,0.210824121247516,0.226379918982482,0.242812968927939,0.272312375793063,0.254439759328443,0.267268727328128,0.267036562882676,0.249522555328577,0.529891427438175,0.533826687657717,0.539199039897909,0.575627344444257,0.603109247391004,0.606662204597777,0.640630857953209,0.671138679099484,0.678690824099093,0.466832769646152,0.449361580967068,0.463206841727678,0.275642022906953,0.211414632654653,0.256521701349815,0.261275948513127,0.534305718331267,0.595132932144346,0.663486787050595,0.459800397446966
li_all_dmr_138,0.557995038681509,0.55464118564867,0.541334254867651,0.394285251700969,0.433228086622091,0.437650823587567,0.406919157248942,0.415936590817096,0.389741204993863,0.455701851202298,0.476300617974446,0.51526902915694,0.622881009014214,0.610594055254627,0.592818009301302,0.524395902564718,0.561951453083601,0.55326875357275,0.632158426756239,0.680096329162601,0.669665352153878,0.499281930942178,0.44670559739151,0.455591969266772,0.551323493065943,0.421721387303542,0.4041989843533,0.482423832777895,0.608764357856714,0.54653870307369,0.660640036024239,0.46719316586682
li_all_dmr_139,0.157647547118115,0.161924341457611,0.165407256356694,0.101926156164738,0.139152787308636,0.155816818442208,0.142325401935189,0.15559938862264,0.150279633621855,0.175249264943772,0.144237588142885,0.209113018931576,0.412914621923431,0.397984927705597,0.357399334214854,0.36317586166874,0.401703483654679,0.404312360102333,0.458802089782956,0.450378710635945,0.454146609175842,0.506534000304705,0.549989700772964,0.52570083696143,0.161659714977473,0.132298587305194,0.149401474726561,0.176199957339411,0.389432961281294,0.389730568475251,0.454442469864914,0.527408179346366
