"","x"
"198",0.250811805542401
"199",0.595809229826859
"200",0.287171311254748
"201",0.257086160931463
"202",0.113616598903035
"203",0.163750446234827
"204",0.093876820647955
"205",0.120458339012697
"206",0.22026426306747
"207",0.135884536929227
"208",0.0288978281251117
"209",0.0543725584607621
"210",0.0810713819175655
"211",0.0549406072824907
"212",0.221901831476219
"213",0.208323630736493
"214",0.0550012231718057
"215",0.154203566494416
"216",0.0838605752187823
"217",0.0511577385890994
"218",0.158295755534088
"219",0.0379109619165376
"220",0.138817535907635
"221",0.148188600040289
"222",0.188242943991095
"223",0.107362628341687
"224",0.0564216528522559
"225",0.105433754889856
"226",0.0973481546707987
"227",0.218289753966753
"228",0.320792577969356
"229",0.226546407616097
"230",0.122473920467246
"231",0.215337546617082
"232",0.104735049926145
"233",0.138860596259394
"234",0.134017233647115
"235",0.291534681229935
"236",0.0776655591040925
"237",0.108894826865061
"238",0.491573214725348
"239",0.61293199344073
"240",0.590183864062548
"241",0.541398094547191
"242",0.63599073904606
"243",0.525074130868131
"244",0.627608779476002
"245",0.534645502521167
"246",0.2729923855516
"247",0.555291162726329
"248",0.586234015101042
"249",0.296549397978558
"250",0.498622130338448
"251",0.378130226766213
"252",0.268713847003627
"253",0.157571291085992
"254",0.0611659095559168
"255",0.184431884516352
"256",0.0476082094452065
"257",0.1137878906119
"258",0.101792445511769
"259",0.053619494940244
"260",0.200551237436625
"261",0.0839043479305163
"262",0.0402255585735186
"263",0.241323998840838
"264",0.349441714544827
"265",0.188997033889536
"266",0.142315235876631
"267",0.193596296523996
"268",0.151170545272585
"269",0.0733073664393854
"270",0.130641260615353
"271",0.110577996621764
"272",0.032250207732308
"273",0.121222452393061
"274",0.171100590735723
"275",0.15167970678766
"276",0.10879903378866
"277",0.17227783309195
"278",0.0522486025563505
"279",0.102179336167305
"280",0.0638285974524335
"281",0.0949497589169608
"282",0.0979242574388945
"283",0.12545307158055
"284",0.0571760466557305
"285",0.0417490464570322
"286",0.145259084522698
"287",0.160655147875594
"288",0.116703926122434
"289",0.113920652515335
"290",0.614892865607175
"291",0.258590994000344
"292",0.0758553464247014
"293",0.0793493926873122
"294",0.0803931309582631
"295",0.143882104980331
"296",0.179261010998013
"297",0.120642645430776
"298",0.12577428712691
"299",0.175573792894681
"300",0.177226748928793
"301",0.444144429864059
"302",0.0836293186939319
"303",0.176307183054397
"304",0.115111383889563
"305",0.262425410325497
"306",0.398436007396898
"307",0.16294871530838
"308",0.205038050065466
"309",0.0660083022647388
"310",0.060167246562713
"311",0.0627066105704689
"312",0.259582270240043
"313",0.0993839435097115
"314",0.0702048013595873
"315",0.0417938865806187
"316",0.121324508995327
"317",0.0411828269648439
"318",0.160952577639278
"319",0.131161422716228
"320",0.138720582300422
"321",0.2910942879418
"322",0.143350919959992
"323",0.115091081942975
"324",0.203901131811281
"325",0.200974897034136
"326",0.214138110048087
"327",0.380968346465301
"328",0.145704250605056
"329",0.119879862041067
"330",0.0766714395363015
"331",0.0815065309981187
"332",0.0387123513223098
"333",0.181138003219542
"334",0.16216054365253
"335",0.305613202436141
"336",0.281110030940731
"337",0.106905393681333
"338",0.0502559664629068
"339",0.127547699549411
"340",0.0715922175659334
"341",0.612206035972343
"342",0.11988100257925
"343",0.368345436175196
"344",0.14460604718207
"345",0.127855784837804
"346",0.0874076467346556
"347",0.114008235132501
"348",0.152146330425196
"349",0.162254804662884
"350",0.223967789562039
"351",0.116729862466746
"352",0.0306819913649644
"353",0.144080081377473
"354",0.255147581946394
"355",0.444620044616124
"356",0.498297708892191
"357",0.0796467456422335
"358",0.213493345079735
"359",0.383704029133314
"360",0.372143920980286
"361",0.437439459667931
"362",0.197597995260307
"363",0.213846445053407
"364",0.0455528928249345
"365",0.69302235412631
"366",0.0948064084266162
"367",0.174342067892055
"368",0.131146888902943
"369",0.200260252765573
"370",0.0546525384740151
"371",0.106252319244379
"372",0.129369655113565
"373",0.197654632097493
"374",0.0843481201569916
"375",0.21908332037481
"376",0.0687103223489107
"377",0.170043070580207
"378",0.117748035501704
