"","C3","C4","C7.1","C7.2","C9.1","C9.2","C10","C11.1","C11.2","P2","P11","P7","P4","P8","P10","P9","Control","Mutant"
"DMR_up_ 1017",0.104250879181484,0.108716747353283,0.106291971757141,0.118057152981297,0.149055394134626,0.0880271619287989,0.110641499195637,0.103410436126506,0.0822795471690314,0.497342710681543,0.505992118882073,0.362668436354918,0.392254538639371,0.287894026290786,0.367035740460359,0.339874211488182,0.107858976647534,0.393294540399604
"DMR_up_ 1018",0.201489492622643,0.177277400409347,0.224436319784931,0.190182096342775,0.210255224660441,0.227933279179291,0.256274297451187,0.219384330819228,0.233028934605481,0.565480309058078,0.7278418269161,0.473447786616596,0.524372080806295,0.407057547398882,0.51500872242413,0.506114318378486,0.21558459731948,0.531331798799795
"DMR_up_ 1019",0.384853222556606,0.32292684541522,0.355786686094897,0.308876707869283,0.323719980121595,0.296900124013184,0.377007961445502,0.342839830104833,0.339422229559785,0.709991844862126,0.829687251946162,0.690433801305313,0.701501685838303,0.643713502847518,0.701909557959184,0.688974578910802,0.339148176353434,0.70945888909563
"DMR_up_ 102",0.0887455350651146,0.150228978120976,0.140706856536384,0.118858079750804,0.128309189461477,0.110201280175928,0.16343497025429,0.131058608442037,0.136174422106725,0.574357810188408,0.663663247406232,0.37907380548265,0.432436994747168,0.31513539953168,0.434969767695034,0.409032775902372,0.12974643554597,0.45838140013622
"DMR_up_ 1020",0.0652068992829969,0.0675898881759386,0.0798242663468958,0.0602956317845392,0.0688093885562349,0.0575965097328746,0.0760874852541145,0.0887755062198162,0.0645087886255274,0.403073265868597,0.541516738186382,0.317548992365408,0.337468420256207,0.201170930597358,0.347038614122688,0.314722997171774,0.0698549293309931,0.351791422652631
"DMR_up_ 1021",0.110431417194316,0.0821875895114269,0.129787752368323,0.100860527359069,0.115343553724287,0.10135459192809,0.161941151879344,0.171008521469053,0.109752556686233,0.526299324904692,0.677746262697288,0.315863136031953,0.36911904180947,0.24603726654183,0.414474461099586,0.408192878334798,0.120296406902238,0.422533195917088
"DMR_up_ 1022",0.506665025829243,0.497359366297041,0.462382127254203,0.438640829229329,0.413264301292459,0.593484461305106,0.440448539639678,0.491156835170156,0.501135580157803,0.8400213167938,0.876056259344817,0.74225620979592,0.790433132240265,0.669399101696882,0.769152562441685,0.7572425328848,0.482726340686113,0.77779444502831
"DMR_up_ 1023",0.255224556798436,0.233858057776443,0.292085569250479,0.23222085922009,0.226044438269087,0.228627341852343,0.27748011154633,0.242590396482958,0.23667049081002,0.629413411328563,0.697278265314633,0.441462066567092,0.558625792253408,0.400287925633021,0.512778561692146,0.487630673935655,0.247200202445132,0.532496670960645
"DMR_up_ 1024",0.0891604822199201,0.0806404263685211,0.100282975580067,0.0836227343473484,0.0911868271839442,0.0818741828500033,0.0971747070848904,0.0846299062717017,0.0924148157648787,0.473247982969306,0.674214074497779,0.286826519475933,0.354105144851834,0.219188131279321,0.343417953587672,0.282413678511784,0.088998561963475,0.376201926453376
"DMR_up_ 1025",0.227350643760533,0.208867816346938,0.22680922909539,0.219560478878401,0.217951650266603,0.195475896382693,0.20913695445138,0.221701502301544,0.172372611280385,0.533693026471714,0.655058506893313,0.448774851067719,0.500741870114276,0.408942164118784,0.470562501636924,0.450015707925507,0.211025198084874,0.495398375461177
"DMR_up_ 1026",0.137424384500259,0.123873775829125,0.145699050678602,0.125288468063071,0.137344207423981,0.180160117093936,0.143483285921869,0.145216818372668,0.144687170851378,0.469235714570909,0.582852675904029,0.379404453668268,0.411505272797437,0.313831451470892,0.398553100932427,0.4001566823647,0.142575253192765,0.422219907386952
"DMR_up_ 1027",0.218699509387258,0.257449243034576,0.289320541972344,0.243746670872576,0.262792261406792,0.286868881722689,0.391541998950777,0.265209981395934,0.355839663790521,0.567859428218564,0.740157151988632,0.508505264799146,0.548821495311864,0.492946147892457,0.60252745152042,0.544118443916122,0.285718750281496,0.572133626235315
"DMR_up_ 1028",0.100830903455361,0.115786506361017,0.12934556950981,0.0997951894450833,0.111077443497733,0.113190850651265,0.148358388429363,0.134736295742679,0.127280585828372,0.641110553430556,0.708505408349198,0.52954934562024,0.587275923058581,0.486748392564413,0.596258629247031,0.554233093766,0.120044636991187,0.58624019229086
"DMR_up_ 1029",0.0775611397644943,0.0768340015369975,0.109926739360115,0.107463696196028,0.0788724060463642,0.0783049092204156,0.0919688641332106,0.0745830302259445,0.0803108446457684,0.544069662843023,0.702087769878797,0.383039560669181,0.479833486101058,0.298213054967153,0.446856535301631,0.397937965411138,0.0862028479032598,0.464576862167426
"DMR_up_ 103",0.179367105039271,0.190707298908914,0.194611410476835,0.172541446702945,0.204977039419756,0.200041288384887,0.197604245359957,0.203538272515863,0.203874388955648,0.537892453246672,0.673392828411739,0.43725882087865,0.482236498588444,0.371957496342128,0.473269575983012,0.444176649377193,0.194140277307119,0.488597760403977
