dmr,C3,C4,C7.1,C7.2,C9.1,C9.2,C10,C11.1,C11.2,P2,P4,P7,P8,P9,P10,P11,,,,,,,,,,,,,,,,,,
DMR_up_1029,-0.051252865,-0.009548568,-0.015132011,-0.013739013,0.002863523,0.020011228,0.001602868,0.017478998,-0.003537024,0.347815382,0.322050547,0.2707195,0.219473625,0.241760825,0.291198575,0.434165372,,,,,,,,,,,,,,,,,,
DMR_up_103,0.007131792,0.021415149,0.005351874,-0.026314918,-0.038510141,-0.03231432,0.046704166,-0.009551909,0.033220101,0.423262518,0.266774008,0.276397269,0.137753893,0.233368121,0.248914221,0.46514086,,,,,,,,,,,,,,,,,,
DMR_up_1030,0.032726596,-0.021730306,0.01198968,-0.021060162,-0.006415747,-0.007416539,0.033394432,0.003276249,0.007962392,0.3408967,0.287142297,0.240430958,0.208991005,0.255652435,0.272809279,0.42864285,,,,,,,,,,,,,,,,,,
DMR_up_1031,0.068874552,-0.003595939,0.01881581,0.05085714,-0.060345296,-0.075064576,0.008548803,0.008593084,0.052190972,0.462785149,0.258928557,0.325713592,0.281192851,0.226562011,0.263877525,0.551761581,,,,,,,,,,,,,,,,,,
DMR_up_1032,0.064663231,-0.001081253,-0.006284648,-0.025625495,0.021274888,-0.03501828,0.039527143,-0.010203637,0.017411283,0.425612156,0.306550691,0.246283149,0.208348367,0.32549609,0.336146925,0.542786633,,,,,,,,,,,,,,,,,,
DMR_up_1033,0.004708293,0.008682754,-0.001940155,0.008524793,-0.00664174,0.003396708,-0.001284503,-0.005149081,-0.005588775,0.308611179,0.318824509,0.288004505,0.173774291,0.24057634,0.316843839,0.527940548,,,,,,,,,,,,,,,,,,
DMR_up_1034,-0.005360137,-0.028562335,0.014115238,-0.013469027,-0.006388015,0.008580172,-0.000547973,0.034133757,-0.007861815,0.369185751,0.277636794,0.261865621,0.22276043,0.325888454,0.275966756,0.451954508,,,,,,,,,,,,,,,,,,
DMR_up_1035,0.001300907,0.00811304,-0.006329491,-0.029102152,0.001715178,0.06041857,-0.003084659,-0.022997988,-0.008732499,0.381608613,0.305918769,0.246437878,0.176062788,0.279857739,0.310262086,0.448543832,,,,,,,,,,,,,,,,,,
DMR_up_1036,0.00521696,-0.038196465,0.010958607,-0.033894745,-0.023258856,0.020166097,0.014381533,0.030880583,0.018963246,0.410239677,0.306144057,0.252835318,0.228863703,0.271422177,0.289015219,0.480691913,,,,,,,,,,,,,,,,,,
DMR_up_1037,0.014100615,-0.006158801,-0.008648291,-0.011233181,-0.01698187,0.002622851,0.023028792,0.005900565,0.011469934,0.387489338,0.316508598,0.286765622,0.219939809,0.286870252,0.332465891,0.436023895,,,,,,,,,,,,,,,,,,
DMR_up_1038,-0.024288834,-0.006508405,-0.014281119,-0.013688851,-0.001790539,-0.004773446,0.02474628,0.005895129,0.01040095,0.543549009,0.469683381,0.417591953,0.387356381,0.450936617,0.476007313,0.588386336,,,,,,,,,,,,,,,,,,
