"","C3","C4","C7.1","C7.2","C9.1","C9.2","C10","C11.1","C11.2","P2","P10","P4","P8","P7","P9","P11","Control","Mutant"
"DMR_up_ 1021",-0.00986498970792221,-0.038108817390811,0.00949134546608474,-0.0194358795431689,-0.00495285317795124,-0.0189418149741482,0.0416447449771061,0.0507121145668153,-0.0105438502160045,0.406002918002455,0.294178054197348,0.248822634907233,0.125740859639592,0.195566729129716,0.287896471432561,0.55744985579505,-4.62592926927149e-18,0.30223678901485
"DMR_up_ 1022",0.0239386851431303,0.0146330256109284,-0.02034421343191,-0.0440855114567841,-0.0694620393936543,0.110758120618993,-0.0422778010464354,0.00843049448404271,0.0184092394716897,0.357294976107687,0.286426221755572,0.307706791554152,0.186672761010769,0.259529869109807,0.274516192198687,0.393329918658704,1.2335811384724e-17,0.295068104342197
"DMR_up_ 1023",0.00802435435330451,-0.0133421446686888,0.0448853668053472,-0.0149793432250422,-0.0211557641760445,-0.0185728605927888,0.0302799091011981,-0.00460980596217403,-0.0105297116351115,0.382213208883431,0.265578359247014,0.311425589808277,0.153087723187889,0.19426186412196,0.240430471490523,0.450078062869501,-1.2335811384724e-17,0.285296468515514
"DMR_up_ 1024",0.000161920256445111,-0.00835813559495388,0.0112844136165923,-0.00537582761612661,0.00218826522046915,-0.00712437911347175,0.00817614512141536,-0.0043686556917733,0.00341625380140365,0.384249421005831,0.254419391624197,0.265106582888359,0.130189569315846,0.197827957512458,0.193415116548309,0.585215512534304,3.08395284618099e-18,0.287203364489901
"DMR_up_ 1025",0.016325445675659,-0.00215738173793659,0.015784031010516,0.00853528079352694,0.00692645218172852,-0.015549301702181,-0.00188824363349396,0.0106763042166701,-0.0386525868044891,0.322667828386839,0.259537303552049,0.289716672029402,0.19791696603391,0.237749652982845,0.238990509840633,0.444033308808438,-1.2335811384724e-17,0.284373177376302
"DMR_up_ 1026",-0.0051508686925068,-0.0187014773636405,0.00312379748583611,-0.0172867851296941,-0.0052310457687845,0.0375848639011705,0.000908032729103753,0.0026415651799028,0.00211191765861271,0.326660461378144,0.255977847739661,0.268930019604671,0.171256198278126,0.236829200475502,0.257581429171934,0.440277422711264,-7.70988211545248e-18,0.279644654194186
"DMR_up_ 1027",-0.0670192408942381,-0.02826950724692,0.00360179169084796,-0.0419720794089207,-0.0229264888747045,0.00115013144119219,0.105823248669281,-0.020508768885562,0.0701209135090244,0.282140677937068,0.316808701238924,0.263102745030368,0.20722739761096,0.22278651451765,0.258399693634626,0.454438401707136,-2.77555756156289e-17,0.286414875953819
"DMR_up_ 1028",-0.0192137335358259,-0.00425813063017016,0.00930093251862296,-0.0202494475461038,-0.00896719349345371,-0.00685378633992195,0.0283137514381757,0.0146916587514919,0.00723594883718495,0.521065916439369,0.476213992255844,0.467231286067394,0.366703755573226,0.409504708629053,0.434188456774813,0.58846077135801,-6.16790569236198e-18,0.466195555299673
"DMR_up_ 1029",-0.00864170813876546,-0.00936884636626224,0.0237238914568552,0.0212608482927681,-0.0073304418568956,-0.00789793868284412,0.00576601622995082,-0.0116198176773153,-0.00589200325749141,0.457866814939763,0.360653687398372,0.393630638197798,0.212010207063893,0.296836712765921,0.311735117507878,0.615884921975537,3.08395284618099e-18,0.378374014264166
"DMR_up_ 103",-0.0147731722678488,-0.00343297839820564,0.000471133169715338,-0.0215988306041747,0.0108367621126367,0.00590101107776797,0.00346396805283725,0.00939799520874326,0.00973411164852864,0.343752175939552,0.279129298675893,0.288096221281324,0.177817219035009,0.243118543571531,0.250036372070073,0.479252551104619,0,0.294457483096857
"DMR_up_ 1030",-0.0205741669248086,0.0129094829833304,-0.00617997205379392,-0.0180320987317251,0.0187682437554641,-0.0147458245262353,0.0325221936411305,0.0156950897706207,-0.0203629479139829,0.303627199977349,0.260272939028854,0.303786473663776,0.176223095132426,0.208891135655923,0.232180186085473,0.368126336448283,0,0.264729623713155
"DMR_up_ 1031",-0.00506070704861372,-0.024340198157892,-0.00232706297537513,-0.00569767143532945,-0.0132651024354732,-0.0085697213804477,0.0576312130568538,0.0155950391309684,-0.0139657887546909,0.289486326803298,0.250995669647118,0.263908045238449,0.170126376498645,0.208942618017675,0.21322807829706,0.422500905749868,-6.16790569236198e-18,0.259884002893159
"DMR_up_ 1032",-0.0141118276728067,-0.0738371403201807,0.00247420461172843,0.0565585901311126,-0.0190537722589229,-0.0290085188356132,0.0333500362101168,0.0906656995215544,-0.0470372713869887,0.423384937008685,0.278591433379282,0.377504671299923,0.113956316716076,0.18779772579527,0.25972847300639,0.592908993640396,9.25185853854297e-18,0.31912465012086
"DMR_up_ 1033",0.00412487290834793,0.00061874976782697,-0.00670527489409103,-0.00956410646915537,-0.0179479557805445,0.043250886045548,-0.00165221929328188,-0.0275966715451888,0.0154717192605387,0.339262257282414,0.254011208001843,0.271587697501113,0.150308918856074,0.224422746953043,0.22827626568999,0.481416063034258,6.16790569236198e-18,0.278469308188391
"DMR_up_ 1034",-0.00927740816584043,0.00142987317515723,0.00183863019118724,-0.00798776471242808,-0.000933675154574085,0.00356629766074046,0.0213241396944506,-0.00301442043430285,-0.00694567225439006,0.375643118689332,0.272046680387357,0.29588077507911,0.154843467416645,0.196146917469161,0.228269246999926,0.459069172486754,4.62592926927149e-18,0.283128482646898
"DMR_up_ 1035",-0.0225456387103272,0.000939037165710782,-0.0144111275170247,0.00480461296312656,0.005895703695902,0.00508841876780058,0.000655653701192999,0.0191246262055624,0.000448713728056632,0.314484389671442,0.259128663410011,0.282972147368572,0.179232969915833,0.226660567242868,0.254131052842302,0.43610678069512,1.2335811384724e-17,0.278959510163735
"DMR_up_ 1036",0.032910748409434,0.0851213297591157,-0.0131946632955676,0.00213335857947261,-0.0381748848752692,-0.0527633548161529,-0.00720014669431898,0.0316313031957016,-0.0404636902624151,0.383360394516878,0.287726503714078,0.266364663135168,0.184089213230172,0.207684619398284,0.231168222980955,0.413668689327724,1.2335811384724e-17,0.282008900900466
"DMR_up_ 1037",-0.0223515208829751,-0.00440076535903372,0.0103410626264291,0.00890372092474953,-0.00196338203976623,-0.0168054299950406,0.0119386227357847,0.0186133805034118,-0.0042756885135595,0.417190760840115,0.313363460131676,0.357659082126004,0.242428912316836,0.283304703278322,0.299230975445159,0.462907478061657,-6.16790569236198e-18,0.33944076745711
"DMR_up_ 1038",-0.0104731976448365,0.00381255923547356,0.00136822622870206,-0.00243907249528839,-0.00919674096469145,-0.0296382782680323,0.0233369713980363,0.00998855426781274,0.0132409782428241,0.49632934294203,0.282558817852482,0.340065322742488,0.261682628629363,0.333511832743744,0.305288359882365,0.510519038315658,1.5419764230905e-18,0.36142219187259
"DMR_up_ 1039",0.011583097943114,0.00985027886176232,0.0240177330471496,-0.0119589592448671,-0.0210443617463454,-0.0542165231364877,-0.0202143779885767,0.039527218428267,0.0224558938359844,0.450393183117011,0.388951672976734,0.414589455056955,0.318019465948434,0.351290752707747,0.379111170407127,0.535705193905756,2.46716227694479e-17,0.405437270588538
"DMR_up_ 104",-0.0122024000448627,0.00402869810313611,0.041120518705957,0.00777278225721517,-0.041703956951683,-0.03119337985347,0.0556627438329682,-0.0372548693092698,0.0137698632600092,0.307468843650437,0.252514666253635,0.271158063958088,0.203065115821603,0.235110110443973,0.251863343691871,0.401569183097315,6.16790569236198e-18,0.274678475273846
"DMR_up_ 1040",-0.0165384319587038,0.0126298274931498,0.0372705525988962,0.0558296338679021,-0.0459663359394426,-0.0230110413604785,-0.0149954203470914,0.00975300738006785,-0.0149717917342995,0.2776028959965,0.222475674286264,0.287653807323968,0.168402347388246,0.235418903871929,0.242127137742977,0.408759528808013,2.46716227694479e-17,0.263205756488271
"DMR_up_ 1041",0.0141004945273597,-0.00127432522556647,0.000318746212535054,-0.0314458878548005,-0.00108684149963367,-0.0210114269543881,0.0233111888253913,0.00543367042758766,0.011654381541515,0.305321846096673,0.278616462694649,0.263606466756156,0.193840867947541,0.211965099727922,0.236783091666776,0.371624794745776,1.2335811384724e-17,0.265965518519356
"DMR_up_ 1042",-0.00606152558507939,-0.00151239885184523,0.00687709194089242,-0.024197517335111,-0.0382394808497583,0.0313391931974017,-0.0205818345026567,0.028465812242813,0.0239106597433432,0.314022237635189,0.254591887970527,0.255239505159396,0.143736947377387,0.230151378145348,0.230137799960162,0.441622922755971,-1.2335811384724e-17,0.267071811286283
"DMR_up_ 1043",-0.0232982031769031,0.000606562364892704,-0.0113980695827955,-0.0371026002151216,0.021972026156087,-0.0327033928019138,0.0509638615165848,0.0359572656414832,-0.00499744990231366,0.39231864695776,0.270247285308291,0.319028182884353,0.192734354520556,0.258277706607072,0.251698944720089,0.432216112225983,1.2335811384724e-17,0.302360176174872
"DMR_up_ 1044",0.0221645688068359,-0.00169178584804211,-0.00334157298165244,-0.030558324681965,0.00382760815747873,-0.0207012779684538,0.028559354635277,0.0060965498363818,-0.00435511995585988,0.328943092285758,0.227930546041821,0.279666914684679,0.133774365084788,0.186799321187848,0.212947627784876,0.432810879210036,1.2335811384724e-17,0.257553249468544
"DMR_up_ 1045",-0.00740458659736881,-0.0138214513767017,0.00732029614311394,-0.00164517756053636,0.0164345891201643,-0.0180322590627534,0.00493017404741877,0.0139177523904757,-0.00169933710381237,0.334772368941778,0.264288761128364,0.276399855624348,0.188326593376341,0.218118421410984,0.200571857589682,0.47676305217707,6.16790569236198e-18,0.279891558606938
"DMR_up_ 1046",-0.0180598441413976,-0.0107282393014285,0.00875616921055233,-0.0250246662060603,-0.00250394611299004,-0.0041656223017358,0.0332949424991713,0.00677207243714903,0.0116591339167397,0.333939445297568,0.284006030081997,0.284030193846613,0.175484597084903,0.235244150494334,0.24813464050239,0.413800796345698,6.16790569236198e-18,0.282091407664786
