"","States","total_count","filtered_count","total_percentage","filtered_percentage","table","fold_change"
"139","13_ReprPC",9654,3305,1.17784854141503,18.3041648205583,"E038",15.5403383176654
"140","14_ReprPCWk",60514,5441,7.38308749069702,30.134027470093,"E038",4.08149402374861
"141","15_Quies",387130,620,47.2322877395898,3.43376163048294,"E038",0.0726994561308277
"142","1_TssA",113377,2777,13.8327050010371,15.3799291094373,"E038",1.11185260643412
"143","2_TssAFlnk",44017,799,5.37035003599185,4.42512184315463,"E038",0.823991325239073
"144","3_TxFlnk",1452,25,0.177153105669631,0.138458130261409,"E038",0.781573259684288
"145","4_Tx",27819,14,3.39409245635226,0.077536552946389,"E038",0.0228445612320532
"146","5_TxWk",97106,212,11.8475409636055,1.17412494461675,"E038",0.0991028389961717
"147","6_EnhG",5217,21,0.636506716445225,0.116304829419584,"E038",0.182723648336541
"148","7_Enh",56008,458,6.83332723301978,2.53655294638901,"E038",0.371203201587064
"149","8_ZNF/Rpts",1040,1,0.126886521967229,0.00553832521045636,"E038",0.0436478605023687
"150","9_Het",1495,0,0.182399375327892,0,"E038",0
"151","10_TssBiv",4433,541,0.540746261556271,2.99407825557585,"E039",5.53693750366183
"152","11_BivFlnk",10574,2736,1.28983780051794,15.1419558359621,"E039",11.7394263293275
"153","12_EnhBiv",10942,3424,1.33472718112987,18.949582157286,"E039",14.1973449145201
"154","13_ReprPC",20217,5038,2.46611034736818,27.8820078587636,"E039",11.3060666115445
"155","14_ReprPCWk",71990,1678,8.78148508220978,9.28662349881012,"E039",1.05752311959439
"156","15_Quies",321342,151,39.1979438711968,0.835685428081244,"E039",0.0213196240809794
"157","1_TssA",77239,1991,9.42176866599251,11.0188721013891,"E039",1.1695120621207
"158","2_TssAFlnk",59774,1293,7.29135281711359,7.15590237423211,"E039",0.981423139672577
"159","3_TxFlnk",35815,762,4.36878577884905,4.21716752448946,"E039",0.965295104398656
"160","4_Tx",57319,32,6.99188697634647,0.177098898666224,"E039",0.0253291992941747
"161","5_TxWk",80378,141,9.80467020333182,0.780342022248049,"E039",0.079588808808977
"162","6_EnhG",8891,28,1.08454207342585,0.154961536332946,"E039",0.142881996125289
"163","7_Enh",53817,239,6.56470596845789,1.32270739941336,"E039",0.201487683647783
"164","8_ZNF/Rpts",1935,4,0.236035194250256,0.022137362333278,"E039",0.0937883962753745
"165","9_Het",5127,11,0.625401778253779,0.0608777464165145,"E039",0.0973418185450237
"166","10_TssBiv",1140,116,0.139078495170682,0.642267869996124,"E040",4.6180242977745
"167","11_BivFlnk",4058,852,0.495070643335639,4.71734676928188,"E040",9.52863360569675
"168","12_EnhBiv",21903,5375,2.67213708747671,29.760256907148,"E040",11.1372493000539
"169","13_ReprPC",21729,5678,2.65090931716119,31.4379048779137,"E040",11.8592909513706
"170","14_ReprPCWk",83774,1956,10.2203174161656,10.8299651182105,"E040",1.05965056438273
"171","15_Quies",361356,283,44.0849550007869,1.56691213111123,"E040",0.0355430130547545
"172","1_TssA",91930,2046,11.2153386500358,11.3282763966558,"E040",1.01006993637411
"173","2_TssAFlnk",45871,987,5.59620144910032,5.46481368694978,"E040",0.97652197417381
"174","3_TxFlnk",771,25,0.0940609822601719,0.13841979956813,"E040",1.47159636484831
"175","4_Tx",15453,2,1.88524560164259,0.0110735839654504,"E040",0.00587381503810546
"176","5_TxWk",94328,180,11.5078914846141,0.996622556890538,"E040",0.0866034023889612
