dmr,k546_2_bm_w_4d,k546_4_bm_w_4d,k602_1_bm_w_4d,k520_bm_w_23d,k528_bm_w_23d,k529_bm_w_23d,k534_bm_w_3m,k535_bm_w_3m,k536_bm_w_3m,k458_bm_w_1y,k462_bm_w_1y,k464_bm_w_1y,k546_1_bm_m_4d,k546_3_bm_m_4d,k602_2_bm_m_4d,k518_bm_m_23d,k519_bm_m_23d,k526_bm_m_23d,k541_bm_m_3m,k542_bm_m_3m,k543_bm_m_3m,k460_bm_m_1y,k461_bm_m_1y,k463_bm_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
bm_all_dmr_117,0.0701648253362384,0.055703269728592,0.0559901169593004,0.0790184694126241,0.0823148892821803,0.077837166847292,0.0807566570783783,0.0762601192022445,0.0893589647862721,0.093102029000743,0.0909865294108397,0.0807823415143384,0.323073558362134,0.309198128887091,0.303360281595096,0.426297636921912,0.44452344533815,0.457383772199501,0.448368050187394,0.477411430888718,0.460203683316091,0.482278869232828,0.5032849190502,0.48805823806726,0.0606194040080436,0.0797235085140321,0.0821252470222983,0.088290299975307,0.311877322948107,0.442734951486521,0.461994388130734,0.491207342116763
bm_all_dmr_118,0.147974882419258,0.162114096622324,0.152594811891586,0.188057779702373,0.19583568932218,0.200187586094724,0.251254596049493,0.258115516305146,0.270056717417449,0.30923025212118,0.297711250707799,0.308836678034592,0.463898406012496,0.457293745995474,0.446021587030755,0.510201222844625,0.55483115872325,0.549462645592429,0.603973326394105,0.60381046445132,0.594845478558519,0.651899809024082,0.650390427745009,0.645860329897049,0.154227930311056,0.194693685039759,0.259808943257363,0.30525939362119,0.455737913012908,0.538165009053435,0.600876423134648,0.649383522222047
bm_all_dmr_119,0.190879527029301,0.173858606892587,0.169916737719888,0.242908938297088,0.227051095118578,0.257380132215141,0.291200480258741,0.275108745727018,0.284345144012435,0.291842036494123,0.310894268812359,0.298190539584808,0.52319672935045,0.525944797409869,0.501714177706996,0.60200082973725,0.61884147451853,0.613336259943574,0.638040563927338,0.620178572863967,0.631725050540957,0.664722638603192,0.679006738374052,0.665440859920899,0.178218290547259,0.242446721876936,0.283551456666065,0.300308948297097,0.516951901489105,0.611392854733118,0.629981395777421,0.669723412299381
bm_all_dmr_12,0.112705337946478,0.0956337554846527,0.103685591042237,0.175462920065653,0.193307621625942,0.166817979202954,0.198898053882093,0.205292510550587,0.182913498885087,0.225250545021326,0.210173903445979,0.228356044738097,0.503151663931797,0.50505361572828,0.483605482192126,0.60444523304447,0.654521954624372,0.64766057987806,0.677631698123158,0.66177875059505,0.668311052055654,0.728761683398231,0.738752234463204,0.702575838351425,0.104008228157789,0.17852950696485,0.195701354439256,0.221260164401801,0.497270253950734,0.635542589182301,0.669240500257954,0.723363252070953
bm_all_dmr_120,0.143979875180113,0.170333633986995,0.16115840792123,0.144955774752171,0.142777674137097,0.121766812923677,0.168444172040411,0.169508632768624,0.166868380917099,0.162381549052175,0.153665099213505,0.14743215368762,0.39137952678375,0.407081869718265,0.383734808159057,0.469303666577121,0.469080649842805,0.484524797570079,0.541036783089126,0.538787783703725,0.534804744396709,0.554400841119786,0.568182934120927,0.535649130853217,0.158490639029446,0.136500087270982,0.168273728575378,0.154492933984433,0.394065401553691,0.474303037996668,0.53820977039652,0.55274430203131
bm_all_dmr_121,0.0720301480054213,0.0626307378867869,0.0682886140380315,0.0826364962008994,0.0791389838570985,0.0677490346700672,0.083815967215281,0.082221715075248,0.0993033857433679,0.0887322819065499,0.0943894588375901,0.0835989428685255,0.258909808362228,0.226257530883202,0.238739155931913,0.355446476705838,0.390582755658691,0.374098397355102,0.437512720264626,0.439302841904099,0.425390203286061,0.510445902852325,0.520105248222128,0.508090791045477,0.0676498333100799,0.0765081715760217,0.0884470226779656,0.0889068945375552,0.241302165059114,0.37337587657321,0.434068588484929,0.51288064737331
bm_all_dmr_122,0.113257510827223,0.102507732631238,0.098723548120641,0.154621403685392,0.155150326980247,0.13918676912086,0.187634617510478,0.187476581080232,0.189482301906358,0.207857381606761,0.19569426833899,0.184823656039841,0.387779590262666,0.379553835311585,0.369526153966067,0.480933738964343,0.490527880711628,0.509487219920023,0.556756263143984,0.539529150228814,0.55820243001266,0.564661919453812,0.615890215469955,0.582395946013501,0.104829597193034,0.149652833262166,0.188197833499023,0.196125101995197,0.378953193180106,0.493649613198665,0.551495947795153,0.587649360312423
bm_all_dmr_123,0.109259632143628,0.120963754581899,0.120656777065149,0.130519828309254,0.155801431006645,0.151401926496588,0.165596994747717,0.171691370936927,0.169182126944729,0.190112756843255,0.204759288022095,0.191390482077279,0.383166672949173,0.383387931745162,0.371799536822049,0.402613512451522,0.414634398973544,0.429164477197787,0.492621986847267,0.507130603045804,0.496006129396096,0.512319108533122,0.528317784172544,0.52937987397679,0.116960054596892,0.145907728604162,0.168823497543124,0.19542084231421,0.379451380505461,0.415470796207618,0.498586239763056,0.523338922227485
bm_all_dmr_124,0.111590396001449,0.142756503257669,0.126565334627801,0.105745739581991,0.112595918751905,0.120931189938232,0.0955442530782231,0.134535009185321,0.149302452042447,0.0870798466833833,0.118307062031455,0.119135599418363,0.326289003849958,0.32252520636944,0.326029379079627,0.464635742481335,0.468669140563523,0.460063613257747,0.465502639260531,0.462571744329856,0.45187051844597,0.453174286256365,0.488252011243174,0.470943912971967,0.126970744628973,0.113090949424043,0.12646057143533,0.108174169377734,0.324947863099675,0.464456165434202,0.459981634012119,0.470790070157169
bm_all_dmr_125,0.0903982807404961,0.120259785366222,0.102954510256098,0.0876479845956678,0.0956802156886027,0.0878550722775334,0.116211185020304,0.0983251581900586,0.113153712031287,0.105224903567868,0.106084823022027,0.108672132782718,0.218069202760658,0.223475398699669,0.215456122879983,0.27662936290083,0.268182294952433,0.300964499857242,0.324588814839963,0.323080709866591,0.333877373402715,0.375458523714758,0.385003442947219,0.355219843210287,0.104537525454272,0.090394424187268,0.109230018413883,0.106660619790871,0.21900024144677,0.281925385903502,0.327182299369756,0.371893936624088
