counts.all	counts.up	per.all	per.up	pval.up	padj.up	per.change.up	per.fc.up	description
GO:0030546	519	71	0.0304363124560169	0.05	0.000150962515698295	0.00177852248743162	0.0195636875439831	1.64277456647399	signaling receptor activator activity
GO:0005539	192	34	0.0112596762843068	0.023943661971831	0.000207114961738686	0.00225853934467424	0.0126839856875242	2.12649647887324	glycosaminoglycan binding
GO:0009059	6312	577	0.354905819510824	0.403214535290007	0.000272839509588194	0.00230313127926124	0.0483087157791833	1.13611700097161	macromolecule biosynthetic process
GO:1901338	11	7	0.000645085620455079	0.00492957746478873	0.000233397539886298	0.00242945621063465	0.00428449184433365	7.64174135723432	catecholamine binding
GO:0009266	132	25	0.00742198481866742	0.0174703004891684	0.0003114360111419	0.00257616685858801	0.010048315670501	2.35385828939288	response to temperature stimulus
GO:0009582	124	24	0.00697216755693	0.0167714884696017	0.000373573256482868	0.00301318073244989	0.00979932091267168	2.4054913099344	detection of abiotic stimulus
GO:0018958	103	21	0.00579139724486927	0.0146750524109015	0.000381663237563724	0.00306751676573823	0.0088836551660322	2.53393987502799	phenol-containing compound metabolic process
GO:0010467	5785	531	0.325274107393871	0.371069182389937	0.000445417353044438	0.00350534177317784	0.0457950749960658	1.14078918043302	gene expression
GO:0015171	92	20	0.00539526155289702	0.0140845070422535	0.000443737396690578	0.00429362804966799	0.0086892454893565	2.61053276178812	amino acid transmembrane transporter activity
GO:0019233	50	13	0.00281135788585887	0.00908455625436757	0.000640312742337027	0.00482149113125207	0.00627319836850871	3.23137665967855	sensory perception of pain
GO:1901861	44	12	0.00247399493955581	0.00838574423480084	0.000717231390189977	0.005295130116826	0.00591174929524503	3.38955593672575	regulation of muscle tissue development
GO:0035296	150	26	0.00843407365757661	0.0181691125087351	0.000741293523950109	0.00542856792256195	0.00973503885115854	2.15425110645236	regulation of tube diameter
GO:0032526	60	14	0.00337362946303064	0.00978336827393431	0.00100232962576501	0.00700086316424157	0.00640973881090367	2.89995341253203	response to retinoic acid
GO:0099504	178	29	0.0100084340736576	0.0202655485674354	0.00116010160001074	0.00794371684720344	0.0102571144937778	2.02484708579684	synaptic vesicle cycle
GO:0051446	22	8	0.0012369974697779	0.00559049615653389	0.00123267972202703	0.00833990623872916	0.00435349868675599	4.51940791563433	positive regulation of meiotic cell cycle
GO:0050951	28	9	0.00157436041608097	0.00628930817610063	0.00126682577781699	0.00853272102651477	0.00471494776001966	3.99483378256963	sensory perception of temperature stimulus
GO:0050886	91	18	0.00511667135226314	0.0125786163522013	0.00132468477003832	0.00885663136074291	0.00746194499993812	2.45835925081208	endocrine process
GO:0007154	7007	626	0.393983694124262	0.437456324248777	0.00136323345265718	0.00904763871287703	0.043472630124515	1.11034119120372	cell communication
GO:0002209	49	12	0.00275513072814169	0.00838574423480084	0.00158488586399481	0.0102194703008371	0.00563061350665915	3.04368288195781	behavioral defense response
GO:0001964	18	7	0.00101208883890919	0.00489168413696716	0.00182279334636563	0.0115886707420412	0.00387959529805796	4.83325568755338	startle response
GO:0016048	24	8	0.00134945178521226	0.00559049615653389	0.00193894010506285	0.0122072437447916	0.00424104437132163	4.14279058933147	detection of temperature stimulus
GO:0050961	24	8	0.00134945178521226	0.00559049615653389	0.00193894010506285	0.0122072437447916	0.00424104437132163	4.14279058933147	detection of temperature stimulus involved in sensory perception
GO:0035418	13	6	0.000730953050323306	0.00419287211740042	0.00196574644829749	0.0123127315605342	0.00346191906707711	5.73617158522819	protein localization to synapse
GO:0035592	354	47	0.0199044138318808	0.0328441649196366	0.001966560258069	0.0123127315605342	0.0129397510877558	1.65009455676762	establishment of protein localization to extracellular region
GO:0022405	96	18	0.00539780714084903	0.0125786163522013	0.00202198945580512	0.0126075353551095	0.00718080921135223	2.33031970649895	hair cycle process
GO:0006584	37	10	0.00208040483553556	0.00698812019566737	0.00206810461099689	0.0128245119037604	0.0049077153601318	3.35901939675525	catecholamine metabolic process
GO:0004714	47	12	0.00275627492376261	0.00845070422535211	0.00153551875591541	0.013023473892764	0.0056944293015895	3.06598741384477	transmembrane receptor protein tyrosine kinase activity
GO:0052652	44	11	0.00247399493955581	0.0076869322152341	0.00213357560560462	0.0131406225818013	0.0052129372756783	3.1070929419986	cyclic purine nucleotide metabolic process
GO:0050953	153	25	0.00860275513072814	0.0174703004891684	0.00219234234317935	0.0134477508005846	0.00886754535844027	2.03077970065268	sensory perception of light stimulus
GO:0040011	1099	119	0.061793646331178	0.0831586303284416	0.00227147657598748	0.0139143288093936	0.0213649839972637	1.34574726150258	locomotion
GO:0006688	19	7	0.00106831599662637	0.00489168413696716	0.00233597386087668	0.0141374759831162	0.00382336814034079	4.5788738092611	glycosphingolipid biosynthetic process
GO:0008361	114	20	0.00640989597975822	0.0139762403913347	0.00253363356448193	0.0151516635195206	0.00756634441157651	2.18041609964814	regulation of cell size
GO:0071692	362	47	0.0203542310936182	0.0328441649196366	0.00299525972069513	0.0174883650023727	0.0124899338260184	1.61362837871751	protein localization to extracellular region
GO:0071384	33	9	0.00185549620466685	0.00628930817610063	0.00324412428887303	0.018591169913352	0.00443381197143377	3.38955593672575	cellular response to corticosteroid stimulus
GO:0015812	15	6	0.000843407365757661	0.00419287211740042	0.0034568367064031	0.0196610298495925	0.00334946475164276	4.97134870719776	gamma-aminobutyric acid transport
GO:0141108	150	25	0.00879662209711471	0.0176056338028169	0.00243326042450204	0.0201403603811193	0.00880901170570219	2.00140845070423	transporter regulator activity
GO:0048511	262	36	0.0147315153219005	0.0251572327044025	0.00369259783035904	0.02066487156175	0.010425717382502	1.70771520476259	rhythmic process
GO:0008217	141	23	0.00792802923812201	0.0160726764500349	0.00386351180027214	0.0214623762140118	0.00814464721191293	2.0273230543537	regulation of blood pressure
GO:0097746	128	21	0.00719707618779871	0.0146750524109015	0.00427150390915028	0.0234173147079007	0.00747797622310276	2.03902974318658	blood vessel diameter maintenance
GO:0042069	16	6	0.000899634523474838	0.00419287211740042	0.00445773595452279	0.0242289173643307	0.00329323759392558	4.6606394129979	regulation of catecholamine metabolic process
GO:0098773	129	21	0.00725330334551588	0.0146750524109015	0.00450956390351151	0.0244014440506935	0.00742174906538558	2.02322331106886	skin epidermis development
GO:0002021	22	7	0.0012369974697779	0.00489168413696716	0.00455499723064658	0.0245807171982392	0.00365468666718925	3.95448192618004	response to dietary excess
GO:0023052	6980	616	0.392465560865898	0.43046820405311	0.00494331772350913	0.0264649407673808	0.0380026431872115	1.09683051706082	signaling
GO:0045620	43	10	0.00241776778183863	0.00698812019566737	0.00518922232883181	0.0275441976775112	0.00457035241382874	2.89031901581265	negative regulation of lymphocyte differentiation
GO:1903351	43	10	0.00241776778183863	0.00698812019566737	0.00518922232883181	0.0275441976775112	0.00457035241382874	2.89031901581265	cellular response to dopamine
GO:2000846	17	6	0.000955861681192016	0.00419287211740042	0.0056568531182089	0.029610294670717	0.0032370104362084	4.38648415340979	regulation of corticosteroid hormone secretion
GO:0055078	30	8	0.00168681473151532	0.00559049615653389	0.00605622171514791	0.0314826296270246	0.00390368142501857	3.31423247146518	sodium ion homeostasis
GO:0062149	30	8	0.00168681473151532	0.00559049615653389	0.00605622171514791	0.0314826296270246	0.00390368142501857	3.31423247146518	detection of stimulus involved in sensory perception of pain
GO:0050954	277	37	0.0155749226876581	0.0258560447239693	0.00630368372948915	0.0326566838237421	0.0102811220363111	1.66010742027362	sensory perception of mechanical stimulus
GO:0141124	1556	156	0.087489457407928	0.109014675052411	0.00690414750194175	0.0352438070116013	0.0215252176444829	1.24603213098144	intracellular signaling cassette
GO:0008146	41	10	0.00240441003987802	0.00704225352112676	0.00487433943865736	0.0356241616421022	0.00463784348124874	2.92889041566472	sulfotransferase activity
GO:0014072	18	6	0.00101208883890919	0.00419287211740042	0.00707529854848911	0.0357382043427074	0.00318078327849123	4.14279058933147	response to isoquinoline alkaloid
GO:0060973	18	6	0.00101208883890919	0.00419287211740042	0.00707529854848911	0.0357382043427074	0.00318078327849123	4.14279058933147	cell migration involved in heart development
GO:0097009	38	9	0.00213663199325274	0.00628930817610063	0.00709560642145084	0.0357382043427074	0.00415267618284789	2.94356173452499	energy homeostasis
GO:0034698	31	8	0.0017430418892325	0.00559049615653389	0.0071323966210916	0.0358438513119825	0.00384745426730139	3.2073217465792	response to gonadotropin
GO:1903350	46	10	0.00258644925499016	0.00698812019566737	0.00774164615767878	0.0385636066294043	0.00440167094067721	2.701819949564	response to dopamine
GO:0019226	67	13	0.00376721956705089	0.00908455625436757	0.00797236699498659	0.039582409187595	0.00531733668731669	2.41147511916309	transmission of nerve impulse
GO:2000243	77	14	0.00432949114422266	0.00978336827393431	0.0080815194059793	0.03990580334129	0.00545387712971165	2.25970395781717	positive regulation of reproductive process
